0,"it's so laddish and juvenile , only teenage boys could possibly find it funny .",negative
1,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,negative
2,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",negative
3,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,negative
4,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,negative
5,a sentimental mess that never rings true .,negative
6,"interesting , but not compelling .",negative
7,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",negative
8,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",negative
9,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",negative
10,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",negative
11,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",negative
12,this 100-minute movie only has about 25 minutes of decent material .,negative
13,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,negative
14,"on its own , it's not very interesting . as a remake , it's a pale imitation .",negative
15,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,negative
16,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",negative
17,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,negative
18,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . ',negative
19,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",negative
20,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",negative
21,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",negative
22,the action clichés just pile up .,negative
23,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",negative
24,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,negative
25,i didn't laugh . i didn't smile . i survived .,negative
26,"please , someone , stop eric schaeffer before he makes another film .",negative
27,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",negative
28," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",negative
29,curling may be a unique sport but men with brooms is distinctly ordinary .,negative
30,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",negative
31,there's no getting around the fact that this is revenge of the nerds revisited -- again .,negative
32,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",negative
33,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",negative
34,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",negative
35,everything is off .,negative
36,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",negative
37,"an easy watch , except for the annoying demeanour of its lead character .",negative
38,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes .",negative
39,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion .",negative
40,"an odd , haphazard , and inconsequential romantic comedy .",negative
41,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",negative
42,"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest .",negative
43,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost .",negative
44, . . . a pretentious and ultimately empty examination of a sick and evil woman .,negative
45,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end .",negative
46,the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach .,negative
47,mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination .,negative
48,only in its final surprising shots does rabbit-proof fence find the authority it's looking for .,negative
49,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it .",negative
50," . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried .",negative
51,"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . """,negative
52,barry sonnenfeld owes frank the pug big time,negative
53,so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .,negative
54,"i approached the usher and said that if she had to sit through it again , she should ask for a raise .",negative
55,"too slow for a younger crowd , too shallow for an older one .",negative
56,"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker .",negative
57,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny .",negative
58,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest .",negative
59,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,negative
60,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",negative
61,"deadly dull , pointless meditation on losers in a gone-to-seed hotel .",negative
62,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .",negative
63,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off,negative
64,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .",negative
65,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti",negative
66,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people .",negative
67,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers .",negative
68,the code talkers deserved better than a hollow tribute .,negative
69,skip the film and buy the philip glass soundtrack cd .,negative
70,dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ?,negative
71,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",negative
72,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,negative
73,has its moments -- and almost as many subplots .,negative
74,"the gags , and the script , are a mixed bag .",negative
75,completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque .,negative
76,there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance .,negative
77,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space .",negative
78,"adam sandler's heart may be in the right place , but he needs to pull his head out of his butt",negative
79,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted .",negative
80,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast .",negative
81,it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .,negative
82,the movie is a mess from start to finish .,negative
83,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life .",negative
84,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",negative
85,terminally brain dead production .,negative
